編號 >>> 店家名稱
28577 >>> 全家便利商店 林口新僑大店
28597 >>> 7-ELEVEN 北霆門市
28599 >>> 萊爾富便利商店 北縣樹佳店
28601 >>> 萊爾富便利商店 北縣樹玉店
28605 >>> 全家便利商店 桃園金寶店
28611 >>> 全家便利商店 樹林台鐵店
28616 >>> 全家便利商店 樹林東興店
28617 >>> 7-ELEVEN 太元門市
28622 >>> 全家便利商店 樹林武林店
28626 >>> 7-ELEVEN 樹英門市
28629 >>> 7-ELEVEN 博林門市
28645 >>> 全家便利商店 樹林大安店
28655 >>> 7-ELEVEN 俊安門市
28666 >>> 全家便利商店 新莊新樹店
28681 >>> 全家便利商店 三重重仁店
28683 >>> 全家便利商店 淡水義山店 
28696 >>> 全家便利商店 五股自強店
28709 >>> 萊爾富便利商店 五股福鑫店
28720 >>> 7-ELEVEN 泰里門市
28721 >>> 全家便利商店 五股新五店
28723 >>> 7-ELEVEN 新圓山門市
28725 >>> 7-ELEVEN 成曜門市
28752 >>> 全家便利商店 三重自立店
28761 >>> 全家便利商店 三重大榮店
28788 >>> 全家便利商店 三重中興店
28795 >>> 全家便利商店 三重國泰店
28797 >>> 全家便利商店 三重陽光店
28800 >>> 7-ELEVEN 興園門市
28802 >>> 全家便利商店 新北市三重區中央北路58號
28803 >>> 全家便利商店 三重仁美店
28821 >>> 7-ELEVEN 荷運門市
28822 >>> 全家便利商店 三重新仁義店
28823 >>> 全家便利商店 三重群光店
28826 >>> 全家便利商店 三重大仁店
28829 >>> 7-ELEVEN 平安門市
28834 >>> 全家便利商店 三重永福店
28845 >>> 全家便利商店 三重大橋店
28853 >>> 全家便利商店 三重九陽店
28858 >>> 萊爾富便利商店 三重興義店
28861 >>> 全家便利商店 三重華興店
28866 >>> 全家便利商店 三重金陽店
28868 >>> 萊爾富便利商店 三重重高店
28875 >>> 萊爾富便利商店 北縣三民店
28878 >>> 全家便利商店 三重三民店
28881 >>> 全家便利商店 三重車路頭店
28888 >>> 全家便利商店 三重集勇店
28906 >>> 全家便利商店 淡水興忠店
28908 >>> 全家便利商店 淡水大學店 
28909 >>> 全家便利商店 淡水校園店
28916 >>> 全家便利商店 淡水新春店
28919 >>> 萊爾富便利商店 淡水五虎崗店
28920 >>> 全家便利商店 淡水捷運站店
28921 >>> 全家便利商店 淡水新興店
28925 >>> 全家便利商店 淡水新盛店
28930 >>> 萊爾富便利商店 淡水英才店
28931 >>> 全家便利商店 淡水海都店
28933 >>> 全家便利商店 淡水銘崙店
28967 >>> 全家便利商店 淡水新頂店
28971 >>> 全家便利商店 淡水新天闊店
28980 >>> 7-ELEVEN 金滬門市
28988 >>> 全家便利商店 蘆洲徐匯店
28989 >>> 全家便利商店 蘆洲永成店
28990 >>> 全家便利商店 蘆洲新民生店
28993 >>> 全家便利商店 安宅店
29002 >>> 全家便利商店 蘆洲新安店
29003 >>> 7-ELEVEN 得勝門市
29004 >>> 全家便利商店 蘆洲仁德店
29014 >>> 7-ELEVEN 統吉門市
29033 >>> 全家便利商店 蘆洲長樂店
29055 >>> 全家便利商店 新莊泰園店
29057 >>> OK便利商店 泰山貴陽店
29061 >>> 全家便利商店 泰山南科店
29067 >>> 全家便利商店 新莊副都店
29072 >>> OK便利商店 明志科大門市
29073 >>> 7-ELEVEN 義學門市
29090 >>> 全家便利商店 新莊中央店
29097 >>> 全家便利商店 新莊新建明店
29105 >>> 全家便利商店 新莊新泰店
29107 >>> 全家便利商店 新莊富國店
29124 >>> 全家便利商店 新莊新豐店
29126 >>> 全家便利商店 新莊正龍店
29137 >>> 全家便利商店 新莊瓊泰店
29139 >>> 全家便利商店 新莊萬安店
29140 >>> 全家便利商店 新莊民本店
29146 >>> 7-ELEVEN 文正門市
29148 >>> 全家便利商店 新莊福前店
29150 >>> 全家便利商店 新莊公所店
29153 >>> 全家便利商店 新莊華寧店
29158 >>> 全家便利商店 新莊新建店
29187 >>> 全家便利商店 新莊通樹店
29190 >>> 全家便利商店 新莊城市店
29191 >>> 7-ELEVEN 莊捷門市
29195 >>> 全家便利商店 新莊民和店
29199 >>> 全家便利商店 新莊光明店
29202 >>> 7-ELEVEN 後港門市
29206 >>> 全家便利商店 新莊安華店
29212 >>> 萊爾富便利商店 新莊福祐店
29217 >>> 全家便利商店 新莊武廟店
29231 >>> 美廉社 新莊公園店
29233 >>> 7-ELEVEN 富旺門市
29237 >>> 美廉社 新莊西盛店
29239 >>> 全家便利商店 林口新高中店
29244 >>> 全家便利商店 林口樂活店
29245 >>> 全家便利商店 林口住都店
29246 >>> 全家便利商店 林口采都店
29250 >>> 7-ELEVEN 德園門市
29253 >>> 全家便利商店 林口醒吾店
29257 >>> 7-ELEVEN 民視門市
29261 >>> 7-ELEVEN 立軒門市
29262 >>> 7-ELEVEN 麗寶門市
29270 >>> 全家便利商店 林口文義店
29279 >>> 7-ELEVEN 朗廷會門市
29285 >>> 全家便利商店 林口廣場店
29289 >>> 7-ELEVEN 美雅仕門市
29297 >>> 萊爾富便利商店 林口建安店
29299 >>> 全家便利商店 林口洪福店
29301 >>> 全家便利商店 龜山環球店
29311 >>> 7-ELEVEN 升榮門市
29313 >>> 全家便利商店 龜山文華店
29320 >>> 全家便利商店 三芝吉祥店
29321 >>> 萊爾富便利商店 三芝天涯店
29325 >>> 全家便利商店 石門粽香店
29330 >>> 全家便利商店 八里華城店
29333 >>> 全家便利商店 八里龍王店
29340 >>> 全家便利商店 八里中華店
29350 >>> 7-ELEVEN 鑫馬偕門市
29369 >>> 全家便利商店 觀音新坡店
29383 >>> 萊爾富便利商店 觀音蓮花店
29385 >>> 全家便利商店 觀音敬業店
29386 >>> 7-ELEVEN 觀岷門市
29387 >>> 7-ELEVEN 觀芳門市
29392 >>> 7-ELEVEN 程豪門市
29393 >>> 全家便利商店 觀音忠愛店
29396 >>> 7-ELEVEN 富中門市
29399 >>> 全家便利商店 觀音草漯店
29400 >>> 全家便利商店 大園蓮園店
29406 >>> 全家便利商店 新屋永安店
29410 >>> 7-ELEVEN 新屋門市
29411 >>> 全家便利商店 新屋醫院店
29413 >>> 7-ELEVEN 觀園門市
29414 >>> 7-ELEVEN 祥綸門市
29419 >>> 7-ELEVEN 日日興門市
29426 >>> 萊爾富便利商店 新屋水嶺店
29428 >>> 全家便利商店 新屋清華店
29430 >>> 7-ELEVEN 社子門市
29436 >>> 全家便利商店 中壢過嶺店
29437 >>> 全家便利商店 楊梅民族店
29441 >>> 全家便利商店 中壢雙榮店
29446 >>> 全家便利商店 中壢龍凱店 
29460 >>> 7-ELEVEN 禾安門市
29463 >>> 全家便利商店 楊梅新成店
29471 >>> 全家便利商店 楊梅三民店
29480 >>> 全家便利商店 楊梅金立店
29490 >>> 全家便利商店 楊梅北都店
29499 >>> 全家便利商店 楊梅車站店
29503 >>> 全家便利商店 楊梅瑞平店
29508 >>> 7-ELEVEN 合利門市
29509 >>> 萊爾富便利商店 楊梅高獅店
29520 >>> 美廉社 楊梅校前店
29523 >>> 萊爾富便利商店 秀才店
29533 >>> 7-ELEVEN 楊展門市
29537 >>> 7-ELEVEN 富名門市
29539 >>> 7-ELEVEN 鑫隆門市
29543 >>> 7-ELEVEN 永誠門市
29546 >>> 全家便利商店 金山金美店
29554 >>> 萊爾富便利商店  淡水後洲店
29571 >>> 全家便利商店 中壢文忠店
29573 >>> 全家便利商店 中壢環西店
29596 >>> 全家便利商店 中壢導航店
29598 >>> 全家便利商店 中壢中央一店
29601 >>> 全家便利商店 中壢宏大店
29605 >>> 全家便利商店 中壢米干店
29606 >>> 7-ELEVEN 華壢門市
29610 >>> 全家便利商店 中壢環北店
29611 >>> 全家便利商店 中壢龍川店
29613 >>> 全家便利商店 中壢龍慈店
29618 >>> 全家便利商店 中壢太子店
29626 >>> 全家便利商店 中壢龍園店
29631 >>> 全家便利商店 中壢龍興店
29634 >>> 全家便利商店 中壢福爵店
29638 >>> 全家便利商店 中壢金龍店
29639 >>> 全家便利商店 中壢玉龍店
29642 >>> 全家便利商店 中壢高嶺店
29643 >>> 萊爾富便利商店 中壢桃業店
29647 >>> 全家便利商店 中壢中央二店
29649 >>> 全家便利商店 中壢元大一店
29653 >>> 全家便利商店 中壢三和店
29657 >>> 全家便利商店 中壢華勛店
29663 >>> 全家便利商店 中壢龍樹店
29665 >>> 全家便利商店 中壢元大二店
29679 >>> 7-ELEVEN 創薪門市
29681 >>> 全家便利商店 中壢中央三店
29684 >>> 全家便利商店 中壢大福店
29687 >>> 全家便利商店 新仁美門市
29692 >>> 全家便利商店 中壢元大一店
29694 >>> 7-ELEVEN 成龍門市
29705 >>> 全家便利商店 中壢西園店
29706 >>> 全家便利商店 中壢環福店
29707 >>> 全家便利商店 中壢金園店
29708 >>> 全家便利商店 中壢清英店
29721 >>> 全家便利商店 中壢龍門店
29727 >>> 全家便利商店 中壢延平店
29732 >>> 全家便利商店 中壢自立店
29734 >>> 全家便利商店 中壢青塘店
29742 >>> 蜜鄰便利超市 中壢慈惠店
29744 >>> 全家便利商店 平鎮新明店
29749 >>> 全家便利商店 中壢新埔店
29758 >>> 萊爾富便利商店 桃縣高原店
29764 >>> 全家便利商店 龍潭武漢店
29767 >>> 全家便利商店 龍潭百年店
29771 >>> 全家便利商店 龍潭兄弟店
29775 >>> 全家便利商店 龍潭陸醫店
29777 >>> 全家便利商店 龍潭陸軍店
29782 >>> 萊爾富便利商店 龍潭聖亭店
29793 >>> 7-ELEVEN 龍逸門市
29798 >>> 全家便利商店 龍潭魯冰花店
29805 >>> 全家便利商店 龍潭中興店
29810 >>> 萊爾富便利商店 龍吟店
29841 >>> 全家便利商店 大溪仁和店
29851 >>> 全家便利商店 平鎮壢新店
29858 >>> 全家便利商店 平鎮平東店
29874 >>> 7-ELEVEN 高民門市
29900 >>> 7-ELEVEN 廣耘門市
29919 >>> 7-ELEVEN 楊崧門市
29927 >>> 7-ELEVEN 京利門市
29938 >>> 全家便利商店 大溪交流店
29939 >>> 全家便利商店 大溪崎頂店
29940 >>> 全家便利商店 大溪員明店
29941 >>> 全家便利商店 大溪三本店
29942 >>> 全家便利商店 大溪仁東店
29943 >>> 全家便利商店 松樹門市
29946 >>> 全家便利商店 大溪慈湖店
29950 >>> 7-ELEVEN 大溪門市
29954 >>> 全家便利商店 大溪員林店
29958 >>> 全家便利商店 公園店
29962 >>> 全家便利商店 大溪仁美店
29971 >>> 全家便利商店 大溪松樹店
29972 >>> 7-ELEVEN 園頂門市
29987 >>> 全家便利商店 八德金和店
29989 >>> 全家便利商店 八德德富店
29993 >>> 全家便利商店 八德忠勇店
29994 >>> 全家便利商店 八德廣豐店
29997 >>> 全家便利商店 八德建國店
30002 >>> 全家便利商店 八德東勇移店
30004 >>> 全家便利商店 八德新市店
30006 >>> 全家便利商店 八德瑞豐店
30010 >>> 全家便利商店 八德瑞祥店
30014 >>> 全家便利商店 八德豐德店
30018 >>> 全家便利商店 八德貴族店
30019 >>> 全家便利商店 八德國豐店
30021 >>> 全家便利商店 八德大愛店
30025 >>> 全家便利商店 八德廣隆門市
30027 >>> 全家便利商店 八德建興店
30029 >>> 全家便利商店 八德新興店
30036 >>> 全家便利商店 八德大義店
30068 >>> 萊爾富便利商店  八德桃定店
30076 >>> 全家便利商店 龜山萬壽店
30080 >>> 全家便利商店 龜山山鶯店
30087 >>> 全家便利商店 龜山銘園店
30089 >>> 全家便利商店 龜山光峰店
30090 >>> 全家便利商店 龜山庚德店
30091 >>> 7-ELEVEN 光峰門市
30099 >>> 全家便利商店 龜山新明德店
30108 >>> 全家便利商店 龜山興龍店
30109 >>> 7-ELEVEN 鑫騰龍門市 
30115 >>> 7-ELEVEN 萬龍門市
30118 >>> 全家便利商店 龜山導航店
30124 >>> 7-ELEVEN 龜山銘傳門市
30129 >>> 全家便利商店 龜山庚勤店
30142 >>> 全家便利商店 龜山庚勤店
30145 >>> 全家便利商店 龜山興龍店
30162 >>> 全家便利商店 龜山新城店
30181 >>> 全家便利商店 桃園站前店
30189 >>> 全家便利商店 桃園帝國店
30195 >>> 全家便利商店 桃園新統領店
30198 >>> 全家便利商店 龜山興龍店
30214 >>> 全家便利商店 桃園育樂店
30215 >>> 7-ELEVEN 貴族門市
30222 >>> 全家便利商店 桃園大盛店
30238 >>> 全家便利商店 桃園北埔店
30242 >>> 全家便利商店 龜山文德店
30244 >>> 全家便利商店 龜山復興店
30245 >>> 7-ELEVEN 庚亞門市
30248 >>> 全家便利商店 蘆竹南祥店
30250 >>> 萊爾富便利商店 復興旺詮店
30256 >>> 蜜鄰便利超市 桃園復興店
30257 >>> 7-ELEVEN 復麗門市
30261 >>> OK便利商店 桃園運動中心門市
30270 >>> 7-ELEVEN 冠吾門市
30274 >>> 7-ELEVEN 頂湖門市
30275 >>> 全家便利商店 蘆竹明竹店
30276 >>> 全家便利商店 蘆竹南崁店
30277 >>> 全家便利商店 蘆竹南竹店
30278 >>> 全家便利商店 蘆竹奉化店
30279 >>> 全家便利商店 蘆竹鼎福店
30280 >>> 全家便利商店 蘆竹奉順店
30281 >>> 全家便利商店 蘆竹長興店
30282 >>> 全家便利商店 蘆竹洛陽店
30283 >>> 全家便利商店 蘆竹星馳店
30284 >>> 全家便利商店 蘆竹仁愛店
30285 >>> 全家便利商店 蘆竹中愛店
30286 >>> 全家便利商店 蘆竹長壽店
30287 >>> 全家便利商店 蘆竹南興店
30291 >>> 全家便利商店 蘆竹五福店
30293 >>> 全家便利商店 蘆竹興福店
30294 >>> 全家便利商店 蘆竹吉林店
30297 >>> 全家便利商店 蘆竹坑口店
30300 >>> 全家便利商店 蘆竹文新店
30301 >>> 全家便利商店 南工店 
30303 >>> 全家便利商店 蘆竹吉川店
30304 >>> 全家便利商店 蘆竹南昌店
30306 >>> 全家便利商店 上興店
30311 >>> 全家便利商店 蘆竹中福店
30312 >>> 全家便利商店 蘆竹南山店
30317 >>> 全家便利商店 蘆竹星光店
30321 >>> 全家便利商店 蘆竹六福店
30328 >>> 全家便利商店 蘆竹中愛店
30351 >>> 全家便利商店 蘆竹中福店
30353 >>> 7-ELEVEN 電通市門市
30361 >>> 萊爾富便利商店 蘆竹海山店
30368 >>> 7-ELEVEN 高竹門市
30371 >>> 7-ELEVEN 進三廠臨門市 
30376 >>> 7-ELEVEN 海湖門市
30378 >>> 7-ELEVEN 愛山林門市
30380 >>> 7-ELEVEN 樂欣門市
30383 >>> 全家便利商店 蘆竹南亞店
30393 >>> 7-ELEVEN 芮霖門市
30407 >>> 7-ELEVEN 山林門市
30411 >>> 全家便利商店 桃園龍彩店
30430 >>> 全家便利商店 台中東英店
30432 >>> 全家便利商店 台中金站二店
30435 >>> 全家便利商店 金礦店
30436 >>> 全家便利商店 台中金東店
30437 >>> 全家便利商店 台中鳳鳴店
30443 >>> 7-ELEVEN 世界門市
30450 >>> 全家便利商店 台中展欣店
30457 >>> 全家便利商店 台中樂成店
30463 >>> 全家便利商店 台中台鐵店
30467 >>> 全家便利商店 台中成功店
30469 >>> 全家便利商店 台中新興中店
30477 >>> 全家便利商店 台中一中一店
30492 >>> 全家便利商店 台中台體大店
30495 >>> OK便利商店 台中仁和店
30500 >>> 全家便利商店 太平育仁店
30505 >>> 全家便利商店 台灣大道店
30520 >>> 蜜鄰便利超市 台中興大直營店
30522 >>> 全家便利商店 台中新美村店
30536 >>> 全家便利商店 台中時尚店
30539 >>> 全家便利商店 大里東益店
30544 >>> 美廉社 台中南門店
30546 >>> 全家便利商店 台中崇大店
30547 >>> 全家便利商店 台中新大昇店
30548 >>> 美亷社 大里日新店
30559 >>> 全家便利商店 潭子火車頭店
30568 >>> 全家便利商店 梧棲金牌店
30576 >>> OK便利商店 大園新興店
30579 >>> 全家便利商店 大園航園店
30584 >>> 全家便利商店 大園都心店
30587 >>> 全家便利商店 大園果林店
30593 >>> 全家便利商店 大園二航店
30595 >>> 7-ELEVEN 園山門市
30601 >>> 萊爾富便利商店 桃縣桃邦店
30603 >>> 全家便利商店 大園二航店
30606 >>> 全家便利商店 大園仁德店
30609 >>> 全家便利商店 大園田心店
30610 >>> 全家便利商店 大園華園店
30619 >>> 7-ELEVEN 新晨門市
30621 >>> 7-ELEVEN 環埔門市
30629 >>> 7-ELEVEN 布拉格門市
30632 >>> 7-ELEVEN 公力門市
30635 >>> 7-ELEVEN 航站北門市
30636 >>> 7-ELEVEN 航站南門市
30639 >>> 全家便利商店 桃園國安店
30640 >>> 全家便利商店 桃園大郡店
30651 >>> 全家便利商店 桃園陽明店
30665 >>> 全家便利商店 桃園中埔店
30670 >>> 7-ELEVEN 有成門市
30678 >>> 7-ELEVEN 富有門市
30696 >>> 全家便利商店 桃園中寧店
30699 >>> 7-ELEVEN 國悅門市
30702 >>> 全家便利商店 龜山銘美店
30706 >>> 7-ELEVEN 國門門市
30707 >>> 7-ELEVEN 鑫海門市
30721 >>> 7-ELEVEN 鼎站門市
30722 >>> 全家便利商店 金五廊店
30729 >>> 全家便利商店 台中五權一店
30742 >>> 全家便利商店 草悟道店
30747 >>> 全家便利商店 中清一店
30761 >>> 全家便利商店 台中鑫美店
30788 >>> 蜜鄰便利超市 台中大墩二店
30792 >>> 全家便利商店 台中情人店
30796 >>> 全家便利商店 台中陽光店
30820 >>> 全家便利商店 台中敦化店
30823 >>> 全家便利商店 台中彩虹村店
30842 >>> 全家便利商店 台中高工店
30844 >>> 全家便利商店 台中金大慶店
30846 >>> 全家便利商店 台中新時代店
30848 >>> 全家便利商店 台中汝川店
30852 >>> 全家便利商店 台中樹仔腳店
30853 >>> 全家便利商店 台中福田二店
30865 >>> 全家便利商店 台中和美店
30877 >>> 7-ELEVEN 超贊門市
30882 >>> 7-ELEVEN 建丞門市
30883 >>> 萊爾富便利商店 台中夜市店
30890 >>> 全家便利商店 台中金南屯店
30892 >>> 萊爾富便利商店 台中豐富店
30909 >>> 全家便利商店 台中龍富二店
30929 >>> 全家便利商店 台中皇居店
30940 >>> 全家便利商店 豐原社皮店
30942 >>> 全家便利商店 龍井遊園北店
30945 >>> 全家便利商店 豐原互助店
30948 >>> 全家便利商店 真樂店
30949 >>> 全家便利商店 豐原金大明店
30958 >>> 全家便利商店 台中梅亭東店
30969 >>> 萊爾富便利商店 台中豐衣店
30971 >>> 全家便利商店 台中偉如店
31018 >>> 全家便利商店 台中新東義店
31022 >>> 美廉社 台中成都店
31045 >>> 7-ELEVEN 虹博門市
31050 >>> 全家便利商店 豐原甜心店 
31052 >>> 全家便利商店 神岡和睦店
31055 >>> 全家便利商店 大甲金雁店
31059 >>> 全家便利商店 清水必成店
31062 >>> 全家便利商店 台中精誠店
31068 >>> 全家便利商店 台中高昇店
31071 >>> 全家便利商店 台中金大益店
31074 >>> 7-ELEVEN 超億門市SimpleFit概念店
31077 >>> 7-ELEVEN 原義門市
31079 >>> 7-ELEVEN 大全門市
31080 >>> 蜜鄰便利超市 台中忠明二店
31089 >>> 全家便利商店 台中新桂冠店
31092 >>> 義美食品 文心市政門市
31096 >>> 全家便利商店 台中鼎盛店
31099 >>> 全家便利商店 台中環中店
31101 >>> 全家便利商店 台中世貿店
31109 >>> 全家便利商店 台中上安店
31121 >>> 全家便利商店 台中福華店
31139 >>> 美廉社 台中昌平店
31141 >>> 7-ELEVEN 新北屯門市
31155 >>> 全家便利商店 台中保安店
31194 >>> 7-ELEVEN 東侑門市
31201 >>> 7-ELEVEN 君悅門市
31211 >>> 7-ELEVEN 川越門市
31212 >>> 全家便利商店 太平水悅店
31224 >>> 7-ELEVEN 鑫文山門市
31233 >>> 萊爾富便利商店 台中田心仔
31234 >>> 全家便利商店 太平新興中店
31247 >>> 全家便利商店 白金店
31251 >>> 全家便利商店 烏日成功店
31258 >>> 全家便利商店 台中漢翔店
31261 >>> 全家便利商店 台中文華店
31262 >>> 全家便利商店 台中逢明店
31263 >>> 全家便利商店 台中俊美店
31267 >>> 全家便利商店 台中捷運店
31272 >>> 7-ELEVEN 金西屯門市
31285 >>> 全家便利商店 台中新福瑞店
31296 >>> 7-ELEVEN 福星門市
31300 >>> 7-ELEVEN 裕元門市
31305 >>> 義美食品 台中永福門市
31309 >>> 全家便利商店 烏日火車頭店
31312 >>> 全家便利商店 新烏日站店
31319 >>> 7-ELEVEN 潮貴門市
31323 >>> 全家便利商店 烏日長壽店
31349 >>> 全家便利商店 台中新高鐵店
31364 >>> 全家便利商店 太平頭汴坑店
31372 >>> 全家便利商店 太平玉林店
31374 >>> 全家便利商店 太平新福店
31378 >>> 7-ELEVEN 光興門市
31403 >>> 全家便利商店 太平宜佳店
31405 >>> 全家便利商店 太平溪洲店
31411 >>> 7-ELEVEN 豐年門市
31412 >>> 7-ELEVEN 育見門市
31420 >>> 全家便利商店 大里軟科店
31422 >>> 全家便利商店 豐原台鐵店
31423 >>> 全家便利商店 大肚瑞功店
31430 >>> 全家便利商店 麗寶樂園店
31431 >>> 全家便利商店 后里文明店
31433 >>> 7-ELEVEN 后興門市
31445 >>> 全家便利商店 后里六家店
31447 >>> 7-ELEVEN 后旺門市
31448 >>> 7-ELEVEN 月湖門市
31452 >>> 全家便利商店 麗寶摩天輪店
31453 >>> 7-ELEVEN 久豐門市
31458 >>> 全家便利商店 新社興安店
31464 >>> 7-ELEVEN 興中街門市
31469 >>> 全家便利商店 和平農會店
31478 >>> 全家便利商店 霧峰亞大醫店
31480 >>> 全家便利商店 霧峰朝科大店
31501 >>> 7-ELEVEN 康順門市
31502 >>> 7-ELEVEN 康勢門市
31506 >>> 7-ELEVEN 霧工門市
31509 >>> OK便利商店 大里光正店
31534 >>> 全家便利商店 大里善化店
31537 >>> 7-ELEVEN 和平門市
31547 >>> 全家便利商店 大里大里店
31549 >>> OK便利商店 大里爽文店
31552 >>> 全家便利商店 大里金樹王店
31559 >>> 全家便利商店 大里愛心店
31565 >>> 全家便利商店 大里仁愛醫店
31583 >>> 萊爾富便利商店 大里精采店
31587 >>> 全家便利商店 豐原豐南店
31595 >>> 全家便利商店 潭子聚興店
31603 >>> 美廉社 潭子頭張店
31609 >>> 全家便利商店 潭子福貴店
31612 >>> 美廉社 潭子復興店
31616 >>> 美廉社 潭子中山店
31624 >>> 7-ELEVEN 潭濟門市
31632 >>> 7-ELEVEN 大鋒門市
31633 >>> 全家便利商店 大肚台蔗店
31640 >>> 全家便利商店 大洋便利商店
31648 >>> 7-ELEVEN 中蔗門市
31658 >>> 7-ELEVEN 神采門市
31661 >>> 全家便利商店 神岡加油店
31666 >>> 7-ELEVEN 神圳門市
31673 >>> 7-ELEVEN 奇晉門市
31675 >>> 萊爾富便利商店 神岡大三元店
31687 >>> 全家便利商店 豐原葫蘆墩店
31691 >>> 全家便利商店 豐原金旺店
31693 >>> 美廉社 豐原大明店
31694 >>> 全家便利商店 豐原中興店
31695 >>> 全家便利商店 豐原豐富 
31696 >>> 全家便利商店 豐原金美 
31697 >>> 全家便利商店 豐原太陽店
31698 >>> 全家便利商店 豐原大道店
31699 >>> 全家便利商店 豐原社興店
31702 >>> 全家便利商店 豐原金睿店
31703 >>> 全家便利商店 豐原榮豐店
31704 >>> 全家便利商店 豐原綠山店
31706 >>> 全家便利商店 豐原永康店
31708 >>> 全家便利商店 豐原騰偉店
31709 >>> 全家便利商店 豐原榮豐店
31712 >>> 全家便利商店 豐原圓環東店
31713 >>> 全家便利商店 新水源店
31719 >>> 7-ELEVEN 欣三豐門市
31731 >>> 7-ELEVEN 豐嶟門市
31734 >>> 7-ELEVEN 豐村門市 
31741 >>> 7-ELEVEN 豐泰門市
31753 >>> 7-ELEVEN 榮春門市
31755 >>> 7-ELEVEN 康泰門市
31756 >>> 7-ELEVEN 新豐寶門市
31761 >>> 全家便利商店 梧棲中央店
31768 >>> 全家便利商店 梧棲港埠店
31773 >>> 全家便利商店 梧棲金自由店
31775 >>> 全家便利商店 梧棲海王子店
31777 >>> 全家便利商店 梧棲海星星店
31780 >>> 全家便利商店 梧棲新文華店
31783 >>> 全家便利商店 梧棲金泰店
31786 >>> 7-ELEVEN 港務門市
31788 >>> 萊爾富便利商店 梧棲向上店
31789 >>> 7-ELEVEN 吉得堡門市
31790 >>> 7-ELEVEN 三景門市
31796 >>> 7-ELEVEN 大維門市
31798 >>> 7-ELEVEN 大維門市
31801 >>> 7-ELEVEN 廣洽門市
31806 >>> 7-ELEVEN 興安門市
31812 >>> 全家便利商店 清水金橫濱店
31814 >>> 全家便利商店 沙鹿興安店
31817 >>> 7-ELEVEN 文銧門市
31818 >>> 全家便利商店 沙鹿人瑞店
31825 >>> 全家便利商店 清水德光店
31829 >>> 全家便利商店 龍井龍安店
31835 >>> 全家便利商店 沙鹿鎮南店
31841 >>> 全家便利商店 東勢東坑店
31844 >>> 7-ELEVEN 速華門市
31857 >>> 全家便利商店 卓蘭上新店
31866 >>> 全家便利商店 大甲台鐵店
31879 >>> 7-ELEVEN 茂華門市（史奴比主題聯名店）
31898 >>> 全家便利商店 大雅好神店
31903 >>> 全家便利商店 大雅大雅店
31904 >>> 全家便利商店 大雅金雅環店
31909 >>> 全家便利商店 大雅金好神店
31917 >>> 7-ELEVEN 浤雅門市
31918 >>> 7-ELEVEN 通山門市
31922 >>> 全家便利商店 大雅永勝店
31924 >>> 7-ELEVEN 浤淶門市
31929 >>> 萊爾富便利商店 鑫泉門市 清泉空軍基地
31930 >>> 7-ELEVEN 環禹門市
31938 >>> 全家便利商店 大雅金學府店
31941 >>> 7-ELEVEN 晞寶門市
31942 >>> 7-ELEVEN 藍鵲門市
31947 >>> 7-ELEVEN 約恩雅門市
31954 >>> 全家便利商店 台中機場店
31955 >>> 全家便利商店 台中國聚店
31957 >>> 7-ELEVEN 東展門市
31959 >>> 7-ELEVEN 豐村門市
31963 >>> 萊爾富便利商店 外埔馬鳴埔店
31970 >>> 7-ELEVEN 清康門市
31974 >>> 7-ELEVEN 飛翔門市
31980 >>> 全家便利商店 大安海墘店
31984 >>> 7-ELEVEN 丹聯門市
31985 >>> 全家便利商店 沙鹿東家店
31987 >>> 全家便利商店 沙鹿德光店
31988 >>> 全家便利商店 沙鹿金斗店
31992 >>> 全家便利商店 沙鹿正英店
32001 >>> 萊爾富便利商店 沙鹿正德店
32004 >>> 萊爾富便利商店 沙鹿竹林店
32007 >>> 7-ELEVEN 靜大門市
32008 >>> 全家便利商店 龍井向漾店
32011 >>> 全家便利商店 龍井藝術店
32013 >>> 全家便利商店 龍井向美店
32014 >>> 全家便利商店 龍井海大店
32015 >>> 全家便利商店 龍井龍后店
32016 >>> 全家便利商店 龍井龍盈店
32019 >>> 全家便利商店 福康店
32020 >>> 全家便利商店 宜至
32022 >>> 全家便利商店 龍井新文勝店
32028 >>> 7-ELEVEN 龍億門市
32038 >>> 7-ELEVEN 龍竹門市
32042 >>> 美廉社 龍井國際店
32048 >>> 全家便利商店 新化鑫義
32050 >>> 全家便利商店 新化正孝店
32051 >>> 全家便利商店 那拔店
32057 >>> 7-ELEVEN 三麗門市
32059 >>> 全家便利商店 台南三越店
32060 >>> 全家便利商店 台南康樂一店
32062 >>> 全家便利商店 台南赤崁店
32063 >>> 全家便利商店 台南前站店
32065 >>> 全家便利商店 台南和善店
32066 >>> 全家便利商店 台南康樂三店
32067 >>> 全家便利商店 台南美環店
32068 >>> 全家便利商店 台南康樂二店
32069 >>> 全家便利商店 台南大學店
32072 >>> 全家便利商店 台南永福店
32081 >>> 全家便利商店 台南美美店
32082 >>> 全家便利商店 台南勝興店
32096 >>> 7-ELEVEN 唯勝門市
32099 >>> 全家便利商店 台南臨安店
32109 >>> 全家便利商店 台南承天店
32115 >>> 全家便利商店 台南一中店
32116 >>> 義美食品 台南成功門市
32120 >>> 全家便利商店 台南長成店
32121 >>> 全家便利商店 台南大豐店
32124 >>> 全家便利商店 台南新博店
32126 >>> 7-ELEVEN 公道門市
32127 >>> 全家便利商店 台南新樓店
